"","","","Home","","","","Away","","","","Total","","","","","","",""
"","","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"1","Manchester City","","5","5","0","0","6","4","0","2","11","9","0","2","28","8","+20","27"
"2","Tottenham Hotspur","","4","4","0","0","6","4","2","0","10","8","2","0","22","9","+13","26"
"3","Liverpool","1-1","5","5","0","0","6","2","3","1","11","7","3","1","24","10","+14","24"
"4","Arsenal","","6","4","2","0","5","3","1","1","11","7","3","1","23","9","+14","24"
"5","Aston Villa","0-2","5","5","0","0","6","2","1","3","11","7","1","3","26","16","+10","22"
"6","Newcastle United","","6","5","0","1","5","1","2","2","11","6","2","3","27","11","+16","20"
"7","Brighton & Hove Albion","","6","3","2","1","5","2","1","2","11","5","3","3","24","20","+4","18"
"8","Manchester United","","6","3","0","3","5","3","0","2","11","6","0","5","12","16","-4","18"
"9","Brentford","","6","2","3","1","5","2","1","2","11","4","4","3","19","14","+5","16"
"10","Crystal Palace","","5","1","2","2","6","3","1","2","11","4","3","4","10","13","-3","15"
"11","West Ham United","","5","2","1","2","6","2","1","3","11","4","2","5","18","20","-2","14"
"12","Nottingham Forest","2-0","5","2","3","0","6","1","1","4","11","3","4","4","12","15","-3","13"
"13","Chelsea","","6","1","2","3","4","2","1","1","10","3","3","4","13","11","+2","12"
"14","Wolverhampton Wanderers","","5","1","2","2","6","2","1","3","11","3","3","5","14","19","-5","12"
"15","Fulham","","5","2","0","3","6","1","3","2","11","3","3","5","9","17","-8","12"
"16","Everton","","6","1","1","4","5","2","1","2","11","3","2","6","11","15","-4","11"
"17","Luton Town","1-1","5","0","2","3","6","1","1","4","11","1","3","7","10","21","-11","6"
"18","AFC Bournemouth","","6","1","2","3","5","0","1","4","11","1","3","7","9","27","-18","6"
"19","Burnley","","6","0","0","6","5","1","1","3","11","1","1","9","8","27","-19","4"
"20","Sheffield United","","6","1","1","4","5","0","0","5","11","1","1","9","9","30","-21","4"
