1,Chelsea,€1.23bn,128,€514.46m,132,€-716.03m
2,Manchester United,€788.58m,81,€185.98m,73,€-602.60m
3,Manchester City,€715.71m,122,€448.57m,123,€-267.14m
4,Arsenal,€686.25m,87,€137.10m,85,€-549.15m
5,West Ham United,€536.40m,67,€140.44m,68,€-395.96m
6,Tottenham Hotspur,€534.80m,60,€156.52m,62,€-378.28m
7,Wolverhampton Wanderers,€531.75m,142,€221.27m,146,€-310.48m
8,Aston Villa,€509.89m,104,€202.92m,103,€-306.97m
9,Liverpool,€500.95m,71,€216.77m,73,€-284.18m
10,Newcastle United,€487.50m,76,€101.02m,73,€-386.48m
11,Everton,€412.87m,90,€270.48m,98,€-142.40m
12,Leicester City,€394.90m,69,€323.47m,69,€-71.43m
13,Southampton,€376.56m,84,€145.55m,81,€-231.01m
14,Leeds United,€351.93m,106,€152.45m,106,€-199.48m
15,Brighton & Hove Albion,€333.16m,128,€259.42m,133,€-73.74m
16,Fulham FC,€284.95m,90,€61.95m,83,€-223.00m
17,Nottingham Forest,€252.81m,146,€48.88m,143,€-203.93m
18,AFC Bournemouth,€242.95m,80,€175.28m,80,€-67.68m
19,Crystal Palace,€174.07m,64,€81.18m,67,€-92.89m
20,Burnley FC,€150.55m,61,€140.81m,63,€-9.74m
21,Watford FC,€148.41m,136,€218.42m,135,€70.01m
22,Sheffield United,€146.70m,98,€40.75m,105,€-105.95m
23,Brentford FC,€138.20m,93,€135.81m,88,€-2.39m
24,Norwich City,€106.10m,125,€126.27m,129,€20.17m
25,West Bromwich Albion,€88.81m,92,€93.05m,90,€4.24m
26,Cardiff City,€74.67m,99,€27.77m,104,€-46.90m
27,Huddersfield Town,€65.92m,126,€87.43m,121,€21.51m
