Club,23/24,22/23,21/22,20/21,19/20,total
Arsenal,€-167.04m,€-168.10m,€-136.00m,€-66.85m,€-107.15m,€-645.14m
Aston Villa,€-60.45m,€-46.14m,€-2.80m,€-98.58m,€-156.50m,€-364.47m
AFC Bournemouth,€-126.19m,€-83.10m,€14.26m,€92.85m,€-20.29m,€-122.47m
Brentford,€-54.76m,€-47.90m,€-37.20m,€54.70m,€-390k,€-85.55m
Brighton & Hove Albion,€94.70m,€82.20m,€3.80m,€-29.50m,€-53.24m,€97.96m
Burnley,€-107.25m,€33.26m,€-8.90m,€1.20m,€-10.30m,€-91.99m
Chelsea,€-198.40m,€-543.63m,€30.94m,€-190.05m,€112.27m,€-788.88m
Crystal Palace,€-38.70m,€-41.15m,€-85.62m,€-2.40m,€47.78m,€-120.09m
Everton,€42.30m,€25.40m,€6.50m,€-69.95m,€-33.20m,€-28.95m
Fulham,€-15.87m,€-50.30m,€-15.80m,€-37.25m,€-8.50m,€-127.72m
Liverpool,€-111.30m,€-56.60m,€-57.45m,€-66.85m,€37.60m,€-254.60m
Luton Town,€-22.75m,€-1.27m,€500k, 0m, €-9.34m,€-14.18m
Manchester City,€-126.60m,€7.17m,€-45.10m,€-109.40m,€-98.82m,€-372.75m
Manchester United,€-149.06m,€-219.63m,€-110.90m,€-64.30m,€-155.62m,€-699.51m
Newcastle United,€-108.60m,€-171.29m,€-130.50m,€-38.73m,€-37.26m,€-486.38m
Nottingham Forest,€-57.23m,€-190.25m,€-6.12m,€610k,€9.75m,€-243.24m
Sheffield United,€-33.55m,€-4.50m,€27.70m,€-62.70m,€-72.15m,€-145.20m
Tottenham Hotspur,€-130.40m,€-139.15m,€-61.28m,€-97.20m,€-86.00m,€-514.03m
West Ham United,€18.84m,€-164.95m,€-70.27m,€-9.29m,€-64.32m,€-289.99m
Wolverhampton Wanderers,€75.20m,€-114.24m,€-5.80m,€-8.39m,€-92.60m,€-145.83m
All Teams Combined,€-1277.11m,€-1894.16m,€-690.03m,€-802.07m,€-779.61m,€-5442.98m
